,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
13064,243967,A. Mendes Moreira,23,https://cdn.sofifa.org/players/4/19/243967.png,Netherlands,https://cdn.sofifa.org/flags/34.png,63,69,FC Groningen,https://cdn.sofifa.org/teams/2/light/1915.png,€500K,€2K,1594,Left,1,2,2,Medium/ Medium,Normal,No,LM,18,"Jun 1, 2018",,2019,5'10,154lbs,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,62+2,62+2,62+2,61+2,55+2,55+2,55+2,61+2,46+2,42+2,42+2,42+2,46+2,43+2,37+2,37+2,37+2,43+2,53,60,52,59,62,67,54,56,45,62,75,74,75,62,64,68,74,60,63,62,31,25,58,62,58,66,24,19,18,11,7,12,11,11,€825K
13065,232448,K. Seki,32,https://cdn.sofifa.org/players/4/19/232448.png,Japan,https://cdn.sofifa.org/flags/163.png,62,62,Vegalta Sendai,https://cdn.sofifa.org/teams/2/light/112836.png,€170K,€1K,915,Right,1,2,1,Medium/ Medium,Normal,No,GK,21,"Jan 1, 2008",,2021,5'10,168lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,11,26,5,9,11,12,25,15,29,22,27,66,43,15,56,20,47,8,28,10,7,51,17,38,11,10,14,57,61,61,62,63,€213K
13066,233728,M. Doucouré,20,https://cdn.sofifa.org/players/4/19/233728.png,France,https://cdn.sofifa.org/flags/18.png,62,79,Borussia Mönchengladbach,https://cdn.sofifa.org/teams/2/light/23.png,€600K,€3K,1427,Left,1,3,2,Medium/ Low,Normal,No,CB,29,"Jul 1, 2016",,2021,6'0,172lbs,43+2,43+2,43+2,41+2,42+2,42+2,42+2,41+2,41+2,41+2,41+2,43+2,44+2,44+2,44+2,43+2,53+2,54+2,54+2,54+2,53+2,56+2,60+2,60+2,60+2,56+2,32,21,56,48,31,32,30,35,41,52,65,66,64,58,67,56,74,53,68,28,63,56,29,32,44,45,62,63,61,12,7,6,9,6,€1.4M
13067,244736,S. Beusnard,26,https://cdn.sofifa.org/players/4/19/244736.png,France,https://cdn.sofifa.org/flags/18.png,62,63,AS Béziers,https://cdn.sofifa.org/teams/2/light/113948.png,€350K,€1K,1499,Right,1,4,2,Medium/ Medium,Lean,No,CAM,21,"Jul 2, 2016",,2021,5'7,139lbs,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,61+2,61+2,61+2,61+2,54+2,54+2,54+2,61+2,43+2,38+2,38+2,38+2,43+2,40+2,30+2,30+2,30+2,40+2,50,67,49,58,61,68,53,32,54,63,78,77,59,55,87,64,58,58,45,60,26,17,51,58,63,49,15,11,18,14,6,12,7,5,€639K
13068,201217,J. Kamber,26,https://cdn.sofifa.org/players/4/19/201217.png,Switzerland,https://cdn.sofifa.org/flags/47.png,62,65,Neuchâtel Xamax,https://cdn.sofifa.org/teams/2/light/435.png,€300K,€2K,1678,Left,1,4,2,Medium/ High,Lean,No,LB,3,"Jul 1, 2017",,2022,5'7,143lbs,57+2,57+2,57+2,60+2,59+2,59+2,59+2,60+2,58+2,58+2,58+2,60+2,57+2,57+2,57+2,60+2,61+2,59+2,59+2,59+2,61+2,61+2,59+2,59+2,59+2,61+2,57,44,42,62,41,59,36,30,53,63,75,78,72,56,81,65,69,70,68,59,58,53,65,45,44,64,59,65,59,9,7,7,15,12,€458K
13069,222209,G. Mutombo,22,https://cdn.sofifa.org/players/4/19/222209.png,France,https://cdn.sofifa.org/flags/18.png,62,70,US Orléans Loiret Football,https://cdn.sofifa.org/teams/2/light/112276.png,€375K,€1K,1327,Right,1,2,2,Medium/ Medium,Lean,No,CB,4,"Jul 1, 2018",,2021,6'1,165lbs,38+2,38+2,38+2,35+2,36+2,36+2,36+2,35+2,37+2,37+2,37+2,38+2,43+2,43+2,43+2,38+2,51+2,55+2,55+2,55+2,51+2,53+2,61+2,61+2,61+2,53+2,31,19,63,54,29,31,30,38,47,37,50,48,30,52,54,37,52,59,78,28,66,54,21,33,37,48,60,68,63,11,13,10,11,13,€731K
13070,234241,B. Lubala,20,https://cdn.sofifa.org/players/4/19/234241.png,DR Congo,https://cdn.sofifa.org/flags/110.png,62,78,Birmingham City,https://cdn.sofifa.org/teams/2/light/88.png,€675K,€4K,1580,Right,1,2,3,Medium/ Medium,Normal,No,CAM,30,"Apr 14, 2016",,2019,5'10,161lbs,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,62+2,57+2,57+2,57+2,62+2,52+2,49+2,49+2,49+2,52+2,50+2,43+2,43+2,43+2,50+2,58,59,38,63,35,62,44,47,57,61,77,76,65,61,74,65,59,68,67,63,40,32,57,55,45,57,37,32,35,12,15,7,5,9,€1.7M
13071,184065,S. Zizzo,31,https://cdn.sofifa.org/players/4/19/184065.png,United States,https://cdn.sofifa.org/flags/95.png,62,62,Atlanta United,https://cdn.sofifa.org/teams/2/light/112885.png,€200K,€1K,1793,Right,1,3,2,Medium/ Medium,Normal,No,RB,14,"Feb 7, 2018",,2021,5'10,165lbs,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,60+2,60+2,60+2,61+2,61+2,60+2,60+2,60+2,61+2,60+2,59+2,59+2,59+2,60+2,58,54,58,63,60,62,62,59,61,63,68,67,71,60,65,66,67,69,65,55,66,58,62,57,61,56,54,57,60,8,16,15,16,10,€300K
13072,203778,A. Horwath,31,https://cdn.sofifa.org/players/4/19/203778.png,United States,https://cdn.sofifa.org/flags/95.png,62,62,Real Salt Lake,https://cdn.sofifa.org/teams/2/light/111065.png,€180K,€1K,1086,Right,1,3,1,Medium/ Medium,Normal,No,GK,1,"Feb 12, 2018",,2018,6'3,194lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,18,32,9,17,10,14,33,19,48,53,27,54,35,35,63,41,68,15,32,22,13,37,17,42,12,17,9,63,57,60,64,62,€270K
13073,212994,R. Healey,23,https://cdn.sofifa.org/players/4/19/212994.png,England,https://cdn.sofifa.org/flags/14.png,62,69,Milton Keynes Dons,https://cdn.sofifa.org/teams/2/light/1798.png,€425K,€7K,1475,Right,1,2,2,High/ Medium,Normal,No,LW,32,,Cardiff City,"Jan 6, 2019",5'9,159lbs,60+2,60+2,60+2,58+2,59+2,59+2,59+2,58+2,56+2,56+2,56+2,55+2,48+2,48+2,48+2,55+2,39+2,35+2,35+2,35+2,39+2,37+2,33+2,33+2,33+2,37+2,38,66,55,49,54,56,57,39,38,59,76,67,75,53,72,63,62,53,56,60,29,15,65,49,62,50,20,17,18,6,9,15,13,9,
