,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
568,229909,A. Lunev,26,https://cdn.sofifa.org/players/4/19/229909.png,Russia,https://cdn.sofifa.org/flags/40.png,79,81,,https://cdn.sofifa.org/flags/40.png,€0,€0,1217,Right,1,3,1,Medium/ Medium,Normal,No,GK,12,,,,6'2,176lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,17,25,13,15,18,17,32,17,58,54,36,76,50,24,60,27,70,13,26,20,11,63,15,69,18,20,12,80,73,65,77,85,
569,228941,André Silva,22,https://cdn.sofifa.org/players/4/19/228941.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,87,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,€19M,€84K,1957,Right,2,3,4,High/ Medium,Normal,Yes,ST,23,,Milan,"Jun 30, 2019",6'1,174lbs,78+2,78+2,78+2,75+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,60+2,59+2,59+2,59+2,60+2,58+2,56+2,56+2,56+2,58+2,59,82,77,69,79,77,69,33,58,79,77,83,77,77,72,76,84,77,74,60,76,55,83,68,80,75,28,40,35,14,13,7,11,8,
570,227796,C. Pulisic,19,https://cdn.sofifa.org/players/4/19/227796.png,United States,https://cdn.sofifa.org/flags/95.png,79,87,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€18M,€26K,1925,Right,3,4,4,Medium/ Medium,Lean,Yes,RM,10,"Jan 5, 2016",,2020,5'10,152lbs,72+3,72+3,72+3,78+3,77+3,77+3,77+3,78+3,77+3,77+3,77+3,78+3,69+3,69+3,69+3,78+3,62+3,55+3,55+3,55+3,62+3,58+3,46+3,46+3,46+3,58+3,69,67,46,77,70,87,69,58,56,82,93,88,87,79,89,79,84,74,52,58,45,32,73,78,61,67,38,30,41,8,12,13,16,14,€34.2M
571,227290,M. Dmitrović,26,https://cdn.sofifa.org/players/4/19/227290.png,Serbia,https://cdn.sofifa.org/flags/51.png,79,80,SD Eibar,https://cdn.sofifa.org/teams/2/light/467.png,€10M,€21K,1210,Left,1,2,1,Medium/ Medium,Normal,No,GK,1,"Jul 1, 2017",,2021,6'4,198lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,40,20,8,20,9,40,9,39,35,32,73,37,40,45,45,79,17,20,17,9,45,9,59,19,22,20,74,79,78,81,79,€21.8M
572,227234,L. Tousart,21,https://cdn.sofifa.org/players/4/19/227234.png,France,https://cdn.sofifa.org/flags/18.png,79,84,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,€14.5M,€43K,1949,Right,2,3,3,Medium/ High,Normal,No,RDM,29,"Aug 31, 2015",,2023,6'1,183lbs,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,67+2,71+2,71+2,71+2,67+2,75+2,77+2,77+2,77+2,75+2,75+2,79+2,79+2,79+2,75+2,60,42,76,76,43,69,36,45,73,73,69,69,64,76,68,73,81,85,82,54,85,82,51,67,48,71,77,82,76,11,15,16,10,15,€28.6M
573,226161,Marcos Llorente,23,https://cdn.sofifa.org/players/4/19/226161.png,Spain,https://cdn.sofifa.org/flags/45.png,79,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€16M,€110K,1869,Right,1,3,3,Medium/ Medium,Lean,Yes,CDM,18,"Nov 28, 2014",,2021,6'0,161lbs,61+2,61+2,61+2,65+2,66+2,66+2,66+2,65+2,70+2,70+2,70+2,68+2,75+2,75+2,75+2,68+2,72+2,77+2,77+2,77+2,72+2,72+2,73+2,73+2,73+2,72+2,56,39,61,84,44,68,45,51,81,78,61,59,58,74,66,58,66,75,72,56,65,80,65,76,53,76,76,79,72,13,6,6,11,15,€36M
574,225997,B. Verbič,24,https://cdn.sofifa.org/players/4/19/225997.png,Slovenia,https://cdn.sofifa.org/flags/44.png,79,81,Dynamo Kyiv,https://cdn.sofifa.org/teams/2/light/101047.png,€15.5M,€1K,1978,Right,1,3,4,High/ Medium,Normal,No,LM,21,"Jan 1, 2018",,2023,5'10,154lbs,75+2,75+2,75+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,61+2,60+2,60+2,60+2,61+2,58+2,54+2,54+2,54+2,58+2,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,77,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12,€33.7M
575,225953,S. Bergwijn,20,https://cdn.sofifa.org/players/4/19/225953.png,Netherlands,https://cdn.sofifa.org/flags/34.png,79,86,PSV,https://cdn.sofifa.org/teams/2/light/247.png,€18M,€17K,1930,Right,1,2,4,Medium/ Medium,Stocky,No,LW,22,"Jul 1, 2014",,2022,5'10,172lbs,75+2,75+2,75+2,78+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,77+2,68+2,68+2,68+2,77+2,59+2,53+2,53+2,53+2,59+2,55+2,47+2,47+2,47+2,55+2,72,73,55,75,67,87,76,66,53,83,87,88,78,71,89,78,71,74,76,74,44,26,74,73,59,75,40,31,26,11,14,12,14,13,€28.8M
576,225711,A. Diallo,22,https://cdn.sofifa.org/players/4/19/225711.png,France,https://cdn.sofifa.org/flags/18.png,79,86,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€15M,€43K,1876,Left,2,3,3,High/ Medium,Lean,No,LCB,4,"Jul 1, 2018",,2023,6'1,174lbs,61+2,61+2,61+2,66+2,64+2,64+2,64+2,66+2,67+2,67+2,67+2,70+2,71+2,71+2,71+2,70+2,75+2,76+2,76+2,76+2,75+2,76+2,77+2,77+2,77+2,76+2,66,38,81,76,39,73,46,32,78,76,75,77,75,78,69,43,84,76,78,24,76,77,56,68,41,81,75,80,78,12,7,7,7,8,€28.5M
577,225663,A. Golovin,22,https://cdn.sofifa.org/players/4/19/225663.png,Russia,https://cdn.sofifa.org/flags/40.png,79,85,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,€17M,€61K,2107,Right,1,4,4,High/ High,Lean,No,CAM,17,"Jul 27, 2018",,2023,5'11,152lbs,72+2,72+2,72+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,78+2,75+2,74+2,74+2,74+2,75+2,73+2,67+2,67+2,67+2,73+2,69,72,38,80,70,86,75,79,73,82,80,83,82,79,78,76,63,85,54,75,81,70,73,78,52,80,67,75,66,12,14,14,10,16,€35.7M
578,225647,M. Campaña,29,https://cdn.sofifa.org/players/4/19/225647.png,Uruguay,https://cdn.sofifa.org/flags/60.png,79,80,Independiente,https://cdn.sofifa.org/teams/2/light/110093.png,€10M,€21K,1243,Right,1,3,1,Medium/ Medium,Normal,No,GK,25,"Jan 1, 2017",,2021,6'1,165lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,15,31,12,18,15,13,25,29,40,48,40,71,44,28,60,18,81,17,27,30,18,55,23,51,22,16,18,81,75,74,80,82,€14.8M
579,224254,C. Pavón,22,https://cdn.sofifa.org/players/4/19/224254.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,85,Boca Juniors,https://cdn.sofifa.org/teams/2/light/1877.png,€17.5M,€27K,2030,Right,1,3,3,High/ Medium,Normal,No,RW,7,"Jul 14, 2014",,2022,5'9,172lbs,74+2,74+2,74+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,66+2,63+2,63+2,63+2,66+2,62+2,54+2,54+2,54+2,62+2,76,72,48,76,57,79,72,77,68,76,93,90,92,77,85,84,61,92,73,84,56,49,78,77,59,68,65,34,30,11,10,9,13,7,€28M
580,224069,K. Toko-Ekambi,25,https://cdn.sofifa.org/players/4/19/224069.png,Cameroon,https://cdn.sofifa.org/flags/103.png,79,80,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,€15M,€38K,1878,Right,2,4,3,High/ Medium,Lean,No,LS,7,"Jul 2, 2018",,2023,6'1,163lbs,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,74+2,74+2,74+2,75+2,66+2,66+2,66+2,75+2,55+2,49+2,49+2,49+2,55+2,51+2,43+2,43+2,43+2,51+2,74,81,74,69,72,80,62,63,58,80,84,83,79,76,75,78,71,70,77,72,43,28,80,65,69,78,27,14,18,10,12,12,8,14,€32.6M
581,223682,Granell,29,https://cdn.sofifa.org/players/4/19/223682.png,Spain,https://cdn.sofifa.org/flags/45.png,79,79,Girona FC,https://cdn.sofifa.org/teams/2/light/110062.png,€12M,€37K,2052,Left,1,4,3,Medium/ Medium,Normal,Yes,LWB,6,"Jul 1, 2014",,2021,5'9,154lbs,71+2,71+2,71+2,74+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,74+2,77+2,77+2,77+2,74+2,71+2,73+2,73+2,73+2,71+2,69+2,67+2,67+2,67+2,69+2,73,74,55,83,56,76,80,76,79,80,65,60,71,72,77,73,66,69,64,81,73,74,74,78,68,69,55,75,65,6,13,13,14,14,€25.2M
582,223061,F. Cervi,24,https://cdn.sofifa.org/players/4/19/223061.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,84,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,€17M,€15K,1996,Left,2,3,5,High/ High,Normal,No,LW,11,"Jan 4, 2016",,2023,5'5,137lbs,70+2,70+2,70+2,79+2,77+2,77+2,77+2,79+2,77+2,77+2,77+2,79+2,73+2,73+2,73+2,79+2,71+2,64+2,64+2,64+2,71+2,67+2,55+2,55+2,55+2,67+2,78,65,48,73,55,85,78,76,67,84,93,90,91,82,91,68,60,87,33,64,71,59,75,72,56,81,42,50,53,12,8,9,11,10,€35.3M
583,222028,J. Weigl,22,https://cdn.sofifa.org/players/4/19/222028.png,Germany,https://cdn.sofifa.org/flags/21.png,79,84,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€14.5M,€43K,1918,Right,3,3,3,Medium/ Medium,Lean,No,CDM,33,"Jul 1, 2015",,2021,6'1,159lbs,61+3,61+3,61+3,68+3,67+3,67+3,67+3,68+3,72+3,72+3,72+3,71+3,76+3,76+3,76+3,71+3,75+3,78+3,78+3,78+3,75+3,74+3,73+3,73+3,73+3,74+3,58,41,63,85,56,74,63,46,80,79,72,59,77,80,65,48,67,80,63,52,64,84,56,77,50,80,74,78,73,6,14,16,11,7,€25.7M
584,221660,V. Lindelöf,23,https://cdn.sofifa.org/players/4/19/221660.png,Sweden,https://cdn.sofifa.org/flags/46.png,79,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€14.5M,€91K,1943,Right,2,3,3,Medium/ Medium,Lean,Yes,CB,3,"Jul 1, 2017",,2021,6'2,176lbs,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,66+2,66+2,66+2,67+2,70+2,70+2,70+2,67+2,74+2,76+2,76+2,76+2,74+2,75+2,77+2,77+2,77+2,75+2,64,36,76,79,34,66,64,66,73,75,68,77,66,75,63,68,75,75,77,57,78,79,44,67,55,76,77,80,77,12,16,8,7,9,€29.7M
585,220018,A. Rebić,24,https://cdn.sofifa.org/players/4/19/220018.png,Croatia,https://cdn.sofifa.org/flags/10.png,79,82,Eintracht Frankfurt,https://cdn.sofifa.org/teams/2/light/1824.png,€16M,€39K,1987,Right,1,3,3,High/ Medium,Normal,No,CAM,4,"Dec 20, 2017",,2022,6'1,172lbs,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,75+2,75+2,75+2,76+2,69+2,69+2,69+2,76+2,59+2,57+2,57+2,57+2,59+2,56+2,53+2,53+2,53+2,56+2,74,79,71,72,83,83,75,58,57,79,83,86,75,77,66,81,66,80,83,78,84,29,75,68,63,73,20,50,25,13,15,12,13,14,€28.4M
586,219932,A. Sanabria,22,https://cdn.sofifa.org/players/4/19/219932.png,Paraguay,https://cdn.sofifa.org/flags/58.png,79,85,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€17.5M,€27K,1894,Right,1,4,4,High/ Medium,Normal,Yes,ST,11,"Jul 15, 2016",,2021,5'11,163lbs,78+2,78+2,78+2,77+2,78+2,78+2,78+2,77+2,76+2,76+2,76+2,76+2,68+2,68+2,68+2,76+2,55+2,52+2,52+2,52+2,55+2,51+2,46+2,46+2,46+2,51+2,67,81,77,74,67,82,73,64,63,83,77,79,78,74,75,75,75,69,76,65,32,21,82,73,69,76,50,20,15,8,14,9,14,13,€40.3M
587,219576,R. Battaglia,26,https://cdn.sofifa.org/players/4/19/219576.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,80,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€14.5M,€17K,2030,Right,1,4,3,Medium/ Medium,Normal,No,CM,16,"Jul 1, 2017",,2023,6'2,174lbs,71+2,71+2,71+2,70+2,73+2,73+2,73+2,70+2,73+2,73+2,73+2,71+2,77+2,77+2,77+2,71+2,75+2,80+2,80+2,80+2,75+2,75+2,79+2,79+2,79+2,75+2,46,63,68,78,53,74,45,60,76,76,67,69,60,78,61,76,74,94,78,78,88,83,75,73,57,73,82,83,76,7,7,7,9,9,€30.1M
588,216497,M. Philipp,24,https://cdn.sofifa.org/players/4/19/216497.png,Germany,https://cdn.sofifa.org/flags/21.png,79,84,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€17M,€53K,1974,Right,2,4,4,High/ Medium,Lean,No,ST,20,"Jul 1, 2017",,2022,6'0,174lbs,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,79+2,79+2,79+2,77+2,72+2,72+2,72+2,77+2,62+2,60+2,60+2,60+2,62+2,59+2,53+2,53+2,53+2,59+2,66,81,54,78,80,85,68,65,62,82,84,79,83,79,75,82,59,68,68,79,55,39,79,74,75,67,39,48,39,8,12,10,10,9,€30.2M
589,216388,A. Saint-Maximin,21,https://cdn.sofifa.org/players/4/19/216388.png,France,https://cdn.sofifa.org/flags/18.png,79,86,OGC Nice,https://cdn.sofifa.org/teams/2/light/72.png,€18M,€31K,1823,Right,2,4,4,High/ Low,Normal,No,RS,7,"Aug 7, 2017",,2020,5'8,148lbs,74+2,74+2,74+2,78+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,77+2,68+2,68+2,68+2,77+2,55+2,49+2,49+2,49+2,55+2,50+2,39+2,39+2,39+2,50+2,66,70,53,72,59,87,70,46,68,81,92,92,93,78,87,80,68,74,66,70,36,15,74,70,47,72,26,16,22,10,9,12,7,7,€37.8M
590,216150,D. Zappacosta,26,https://cdn.sofifa.org/players/4/19/216150.png,Italy,https://cdn.sofifa.org/flags/27.png,79,81,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€12.5M,€94K,2069,Right,2,3,3,High/ High,Lean,Yes,RB,21,"Aug 31, 2017",,2021,6'0,159lbs,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,77+2,74+2,74+2,74+2,77+2,77+2,74+2,74+2,74+2,77+2,81,59,69,74,69,76,74,59,68,74,74,79,72,76,73,75,67,87,68,72,75,76,71,64,59,73,76,78,79,11,9,8,6,11,€24.1M
591,215353,L. Alario,25,https://cdn.sofifa.org/players/4/19/215353.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,82,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,€16M,€67K,1834,Right,2,3,3,High/ Medium,Normal,No,ST,13,"Aug 31, 2017",,2022,6'0,172lbs,77+2,77+2,77+2,72+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,70+2,64+2,64+2,64+2,70+2,50+2,50+2,50+2,50+2,50+2,48+2,47+2,47+2,47+2,48+2,48,84,81,69,76,75,49,43,48,79,71,73,72,71,71,75,90,71,78,62,72,22,85,65,75,74,22,27,20,8,15,7,15,15,€28.4M
592,215061,D. Benedetto,28,https://cdn.sofifa.org/players/4/19/215061.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,79,Boca Juniors,https://cdn.sofifa.org/teams/2/light/1877.png,€13M,€32K,1955,Right,2,5,3,High/ Low,Normal,Yes,ST,9,"Jul 1, 2016",,2021,5'10,176lbs,78+2,78+2,78+2,74+2,76+2,76+2,76+2,74+2,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,56+2,54+2,54+2,54+2,56+2,53+2,51+2,51+2,51+2,53+2,61,86,76,67,71,71,67,60,65,74,78,84,77,74,71,81,87,77,76,80,66,28,82,69,72,78,50,25,25,10,14,12,8,11,€18.2M
593,215057,I. Marcone,28,https://cdn.sofifa.org/players/4/19/215057.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,80,Cruz Azul,https://cdn.sofifa.org/teams/2/light/1878.png,€11.5M,€31K,1915,Right,1,3,3,Medium/ High,Normal,No,RDM,23,"Jul 1, 2018",,2023,6'0,183lbs,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,67+2,67+2,67+2,66+2,74+2,74+2,74+2,66+2,71+2,78+2,78+2,78+2,71+2,70+2,75+2,75+2,75+2,70+2,58,48,73,80,49,69,59,60,83,73,54,34,60,79,57,73,35,86,85,66,84,76,56,69,59,76,74,80,71,16,11,12,16,10,€20.4M
594,214947,J. Gbamin,22,https://cdn.sofifa.org/players/4/19/214947.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,79,84,1. FSV Mainz 05,https://cdn.sofifa.org/teams/2/light/169.png,€14.5M,€26K,2037,Right,1,3,3,Medium/ High,Normal,No,RCM,25,"Jul 13, 2016",,2023,6'1,183lbs,67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,72+2,74+2,74+2,74+2,72+2,76+2,77+2,77+2,77+2,76+2,76+2,78+2,78+2,78+2,76+2,69,40,71,78,45,74,62,60,74,76,76,85,68,76,66,78,77,83,83,71,85,79,63,72,40,72,79,80,71,11,13,8,14,10,€27.2M
