,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
3408,240190,P. Kunde Malong,22,https://cdn.sofifa.org/players/4/19/240190.png,Cameroon,https://cdn.sofifa.org/flags/103.png,72,79,1. FSV Mainz 05,https://cdn.sofifa.org/teams/2/light/169.png,€3.7M,€15K,1944,Right,1,4,3,Medium/ Medium,Stocky,No,CDM,13,"Jul 6, 2018",,2022,5'11,174lbs,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,69+2,69+2,68,64,54,75,44,69,62,40,70,74,78,78,69,68,72,79,73,78,84,74,73,70,61,65,57,60,68,71,60,11,13,5,8,9,€7.5M
3409,202559,Y. Orozco,27,https://cdn.sofifa.org/players/4/19/202559.png,Venezuela,https://cdn.sofifa.org/flags/61.png,72,72,Deportes Tolima,https://cdn.sofifa.org/teams/2/light/111722.png,€3.3M,€4K,1749,Right,1,4,3,Medium/ Medium,Normal,No,LW,10,"Jan 1, 2018",,2022,5'6,161lbs,65+2,65+2,65+2,71+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,70+2,64+2,64+2,64+2,70+2,54+2,50+2,50+2,50+2,54+2,51+2,43+2,43+2,43+2,51+2,67,61,55,69,54,76,53,55,60,74,79,73,93,69,93,69,83,53,30,66,39,29,70,72,43,58,55,25,27,14,8,13,13,9,€4.6M
3410,232255,A. Bouzat,24,https://cdn.sofifa.org/players/4/19/232255.png,Argentina,https://cdn.sofifa.org/flags/52.png,72,78,Vélez Sarsfield,https://cdn.sofifa.org/teams/2/light/101088.png,€4.3M,€11K,1824,Left,1,2,3,Medium/ Medium,Normal,No,RW,10,"Dec 27, 2017",,2019,5'7,159lbs,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,71+2,65+2,65+2,65+2,71+2,61+2,57+2,57+2,57+2,61+2,58+2,51+2,51+2,51+2,58+2,68,64,57,68,56,77,50,44,56,75,83,81,82,68,71,65,74,85,63,61,64,48,66,65,63,65,41,38,34,9,15,13,7,13,€7.2M
3411,237631,L. Mothiba,22,https://cdn.sofifa.org/players/4/19/237631.png,South Africa,https://cdn.sofifa.org/flags/140.png,72,81,RC Strasbourg Alsace,https://cdn.sofifa.org/teams/2/light/76.png,€4.9M,€13K,1717,Right,1,3,3,High/ Medium,Lean,No,ST,23,"Aug 30, 2018",,2023,6'0,168lbs,71+2,71+2,71+2,69+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,68+2,61+2,61+2,61+2,68+2,49+2,48+2,48+2,48+2,49+2,46+2,42+2,42+2,42+2,46+2,60,75,70,68,65,68,54,51,53,74,72,72,61,68,68,69,67,69,74,64,55,24,74,64,63,75,32,15,12,14,14,11,7,10,€10.7M
3412,211265,A. Rojas,32,https://cdn.sofifa.org/players/4/19/211265.png,Argentina,https://cdn.sofifa.org/flags/52.png,72,72,San Lorenzo de Almagro,https://cdn.sofifa.org/teams/2/light/1013.png,€2.4M,€15K,1982,Left,1,3,3,Medium/ Medium,Normal,No,LDM,5,"Jul 23, 2018",,2020,5'9,181lbs,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,67+2,67+2,74,66,67,71,71,69,70,65,68,75,62,68,68,71,69,74,71,72,71,73,71,67,72,72,66,71,71,64,57,6,10,14,9,8,€3.5M
3413,213313,R. Walter,23,https://cdn.sofifa.org/players/4/19/213313.png,France,https://cdn.sofifa.org/flags/18.png,72,78,OGC Nice,https://cdn.sofifa.org/teams/2/light/72.png,€4.2M,€19K,1904,Left,1,4,3,Medium/ Medium,Normal,No,CM,6,"Jan 16, 2016",,2019,5'9,161lbs,62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,70+2,71+2,71+2,71+2,70+2,69+2,66+2,66+2,66+2,69+2,69,57,50,75,51,71,60,50,71,73,66,68,74,71,75,67,69,76,62,64,68,72,55,76,54,75,65,71,67,14,7,12,8,16,€8.8M
3414,169281,S. Gakpé,31,https://cdn.sofifa.org/players/4/19/169281.png,Togo,https://cdn.sofifa.org/flags/144.png,72,72,KSV Cercle Brugge,https://cdn.sofifa.org/teams/2/light/1750.png,€2.7M,€11K,1834,Right,2,3,3,High/ Medium,Lean,No,RM,6,"Sep 10, 2018",,2020,5'10,174lbs,71+2,71+2,71+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,71+2,63+2,63+2,63+2,71+2,54+2,49+2,49+2,49+2,54+2,51+2,44+2,44+2,44+2,51+2,66,65,69,70,67,73,59,58,57,73,87,87,86,65,82,75,84,68,61,71,41,31,74,65,65,55,30,21,24,16,15,11,12,6,€4M
3415,199490,Joselu,27,https://cdn.sofifa.org/players/4/19/199490.png,Spain,https://cdn.sofifa.org/flags/45.png,72,73,Real Oviedo,https://cdn.sofifa.org/teams/2/light/110827.png,€3.6M,€10K,1845,Right,1,3,3,High/ High,Stocky,No,ST,22,"Aug 13, 2018",,2022,5'9,161lbs,70+2,70+2,70+2,65+2,67+2,67+2,67+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,59+2,58+2,58+2,58+2,59+2,58+2,56+2,56+2,56+2,58+2,46,75,68,72,69,64,55,54,45,66,78,73,69,65,67,78,70,87,76,73,71,65,68,48,75,63,29,45,39,10,14,8,14,9,€6.1M
3416,138306,Angulo,34,https://cdn.sofifa.org/players/4/19/138306.png,Spain,https://cdn.sofifa.org/flags/45.png,72,72,Górnik Zabrze,https://cdn.sofifa.org/teams/2/light/420.png,€1.6M,€6K,1778,Left,1,3,3,Medium/ Medium,Normal,No,LS,17,"Aug 6, 2016",,2020,5'11,170lbs,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,54+2,51+2,51+2,51+2,54+2,52+2,47+2,47+2,47+2,52+2,60,73,67,65,60,69,69,50,54,69,77,81,73,73,71,64,71,71,71,62,47,40,75,61,71,71,38,29,20,12,8,11,8,8,€2.2M
3417,226626,Ricardo Valente,27,https://cdn.sofifa.org/players/4/19/226626.png,Portugal,https://cdn.sofifa.org/flags/38.png,72,72,Clube Sport Marítimo,https://cdn.sofifa.org/teams/2/light/1893.png,€3.3M,€8K,1751,Right,1,4,4,High/ Medium,Normal,No,LM,33,"Jul 12, 2017",,2019,5'11,168lbs,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,63+2,63+2,63+2,70+2,51+2,49+2,49+2,49+2,51+2,48+2,43+2,43+2,43+2,48+2,69,69,63,67,71,75,42,38,60,73,74,73,71,72,65,75,66,68,69,69,74,16,70,69,60,70,21,26,23,13,11,10,16,13,€6.8M
